id,text,Text_Only_Informative
1050949333754015745,msu student raped woman hours after she left metoo rally prosecutors say,1
1050790113343655937,melania trump says she supports men against metoo allegations,1
1050685917546115072,buy huawei pro and save up to only at amazon buy from the link httpstcorbpdwytyqm amazon great indian festival metoo breaking fridayfeeling rare amazongreatindianfestival amazongreatindianfestivallive friday amazon,1
1051422182721683456,consent metoo keepyourhandstoyourself it shouldn ’ t have to be said but it ’ s true,1
1051973740790210561,“ conservative women don ’ t feel victimized ” how the kavanaugh nomination underscored the right ’ s complex inability to cope with the metoo reckoning httpstcoysthyhftun,0
1051557782145515521,men that establish obvious consent aren ’ t afraid of the metoo movement,1
1053805597064343552,two girls talking episode consent metoo metooindia consent comic comics comicstrip webcomics webcomicseries funny humour cartoon comicart comicartist,1
1051615107539558401,time to take the gloves off lefties flipitblue midtermelections whenweallvote gop impeachtrump maga not metoo midtermsmatter novemberiscoming trumprussia mueller novemberiscoming,0
1054579365718020096,breaking – aamirkhan back in mogul after distancing himself from subash kapoor metoo metooindia,0
1051049809694593024,indian politics there is a reason for the silence of ruling party metoo,1
1052178804670652416,stormy daniels says she ’ s not part of metoo and not a feminist,1
1050388427760373765,alyssamilano i guess alyssamilano thought this tweet didnt fit her narrative so she deleted it celebrities do this often here is the link metoo httpstcoqtapytwwkp,1
1055798702110072832,on offcentre anuradhasays speaks to for a male perspective on the metoo movement httpstcogwjifdaaff,0
1051470454739877889,metoo leads to thisgreatnamaskar in offingdistance to be maintained more than arm length,1
1051880381694263298,coming up on gmaday alyssamilano talks metoo one year later and what is next for the movement plus macygrayslife is bringing down the house with a special performance tune in to now,1
1053967043383439360,equal opportunities for both parties to prove innocence ayushmann khurrana on metoo httpstcoxkxreeimvo httpstcoeupcixylyu,1
1054341062205022208,i totally support the genuine cases but no false allegations should be levelled against anyone even i was accused by a woman once later it turned out to be fake and politically motivated tarungogoi former assam cm on metooindia metoo,1
1054996031023263750,‘ somebody tried to rape me ’ soni razdan shares her metoo story,1
1050073615100796928,odia poem by my mother subhasree mishra titled sharada abhinandana on this time of the year the nostalgia especially and which she ends with a note apt for the metoo movement,0
1056135921559584769,with tinder and metoo indian women are enjoying new sexual freedom author devi yesodharan hypeatia writes httpstcogczcojnvnp,1
