,id,text,Text_Only_Informative
0,1049411650799980545,imnotrunning nationaltheatre oh dear not sure what this was trying to be but it did not work siân brooke singularly unconvincing in the role and the writing does not ring true in terms of westminster the labour party politics the nhs or metoo,0
1,1049528733957349376,this is like a poster for why metoo needs to exist smug complicit arrogant entitled dangerous men who feel immune from consequence because society has told them all their lives that they will be,0
2,1049438561295065088,kavananaughswearingin nice to see the republican fascist rally tonight liars misogynists kavanaughhearings metoo httpstcoolbcvcmnno,0
3,1049375514866139136,bollywood males male judges male presstitutes male politicians right now sleepless nights metoo metooindia aloknath,0
4,1049351067765559296,sunday times magazine issues clarification after rose mcgowan dubs interview claim she called metoo movement a lie as fake news httpstcohzwbdgnbqm,0
5,1049582753090600960,helena bonham carter recalls her runin with harvey weinstein harveyweinstein helenabonhamcarter metoo httpstcoqchcvtbewc,0
6,1049512041860354048,metoo india bollywood actress accuses film producer of repeated assaults khaleej times,0
7,1049468030395154432,metoo firestorm consumes bollywood and indian media,0
8,1049012921987223554,camel leopard print blanket scarf fashion trends of autumnwinter in the age a metoo and the selfcontained woman its all about animal print from leopard to ocelot zebra to tiger wild stripes and spots dominate the lookl autumn bigcat love winter bff moda phot… httpstcotykmpiwqhv,0
9,1049156939471618048,corporate culture and risk in the metoo era people experience sexual harrassment at work,0
10,1048960563416588288,mock neck leopard print top fashion trends of autumnwinter in the age a metoo and the selfcontained woman its all about animal print from leopard to ocelot zebra to tiger wild stripes and spots dominate the looklove l shopfourmi bikini animalprint autumn gorg…,0
11,1049076760560783360,morten morland on brett kavanaughs confirmation to the supreme court kavanaugh supremecourtjustice supremecourtjusticebrettkavanaugh metoo satire cartoons – political cartoon gallery in london,0
12,1049032054095003648,my heart is breaking but knowing i ’ m not alone helps drchristineblaseyford stood bravely in front of a panel of white men who had already decided her story wouldn ’ t matter she ’ s a hero and i love her 💖 kavanaughconfirmation metoo believewomen,0
13,1049249645640265728,more than ever we can not be neutral lets make our voices heard worldnews politics metoo getinvolved vote genderequality womensrights httpstcocgpwtmwxqy,0
14,1048984309749743617,my heart is with all survivors today with all those who feel they can not come forward for fear of not being believed or heard we deserve better we are worth more and we must keep making noise kavanaugh metoo,0
15,1049127824190140416,gayboyfriend amp i were happy to see alyssamilano on meetthepress this morning talking about the metoo movement,0
16,1048967665086156801,mock neck leopard print top fashion trends of autumnwinter in the age a metoo and the selfcontained woman its all about animal print from leopard to ocelot zebra to tiger wild stripes and spots dominate the looklove l shopfourmi bikini animalprint autumn gorg…,0
17,1049251744843255808,the nobel committee is brutally trolling realdonaldtrump they deny him amp his lover kim the peace prize choosing global metoo warriors today they went after his climate denial americans awarded nobel prize in economics for their work on climate change amp innovation httpstcojaubhluulk,0
18,1049238122276560896,sexual harassment why employers need to listen and learn from metoo hrzone ywtrust hr genderequality,0
19,1049263075688419328,what would bridget jones make of mr tits pervert in helen fielding revived her literary heroine for a discussion on feminism metoo and womanhood today,0
20,1049207963997626369,rose mcgowan calls hollywood metoo movement bullst,0
21,1049253070234902528,‘ believe all women ’ the problem with hashtag politics the concept fits well into a hashtag and is easy and simple to chant at protests it is once again a simple solution to a complex problem metoo believeallwomen timesup feminism mondayblogs httpstcoiahlpsyfco,0
22,1049220889831591936,four women accuse dutch conductor of metoo conduct,0
23,1049015189755125760,camel leopard print blanket scarf fashion trends of autumnwinter in the age a metoo and the selfcontained woman its all about animal print from leopard to ocelot zebra to tiger wild stripes and spots dominate the lookl autumn bigcat love winter bff moda phot…,0
24,1049262168313647105,metoo one year on assessments and perspectives hear about the impact of metoo in south korea and argentina upon black and minoritised women and on impunity for criminal artists one of many sessions at filia salford greater manchester,0
25,1049125287219220481,a year after the metoo movement began south korean women are saying withyou as they break the silence surrounding sexual harassment thejihyelee reports tictocnews tictoc,0
26,1049017913993310211,elastic leopard ankle boots fashion trends of autumnwinter in the age a metoo and the selfcontained woman its all about animal print from leopard to ocelot zebra to tiger wild stripes and spots dominate the lookl fallfashion gorgeous selfie bikini womensfashio…,0
27,1048849598415036416,women will rise up ♀️💖✊🌎 feminism believesurvivors believewomen forourdaughters womensmarch iamthechange metoo cancelkavanaugh,0
28,1052274412106313729,has the metoo issue gone viral or is it a storm which is blowing away the strong mighty and powerful with the tumbling out of so many revelations metooindia mjakbar sajidkhan kailashkher aloknath are these just the tip of the iceberg,0
29,1048749441098960896,one year on from metoo sexual misconduct prosecutions are still rare in hollywood,0
30,1048750121838686209,one year on from metoo sexual misconduct prosecutions are still rare in hollywood httpstcozcanyoxdnj,0
31,1048943634295508992,justice lady justice looks depressed metoothe little black bird says is it any wonder kavanaugh kavanaughconfirmed kavanaughswornin kavanaighappointed senatedems housejuddems housedemocrats thedemocrats ourda senjudiciary senategop senatemajldr senbooker,0
32,1048840204184956929,we ’ ve had metoo now we need enoughisenough and a campaign of massive civil disobedience,0
33,1052269557820416000,what would happen if women told the truth of their lives the world would split open said muriel rukeyser google released the world map to show where metoo movement is trending the most metooindia shines the brightest,0
34,1048953940186976256,you have to love yourself and try very amhard after abuse its easy to feel broken alone unloved lonely emotional celebrateallsuccess even if its just getting out of bed thats massive ❤️metoo,0
35,1048837002731372544,i still believe her brettkavanaugh fucktrump equality metoo httpstcosumfdmixtv,0
36,1048909310934376452,the metoo campaign versus the presumption of innocence,0
37,1048928120437395457,searching for solace after kavanaughconfirmed punch to the gut evawiseman column offers some kavanope metoo,0
38,1052268889394925575,fan breaks security touches feet almost kisses rohit sharma rohitsharmas metoo moment 🙈🙊🙈 😂😂😁 metooindia,0
39,1052275615678763010,sambitpatra mjakbar metoo sambit patra was left speechless on mj akbar and ran away rahulgandhi incindia dhruvrathee ppbajpai rssurjewala thesamirabbas yadavtejashwi abhisarsharma bainjal yadavakhilesh reallyswara,0
40,1048859427904913408,on air in minutes w cnni to discuss kavanaugh and how we act to prevent further damage to us values and system metoo neverthelesswepersist,0
41,1052273185603837952,shekhargurera cartoon on bjp politician opposition metoo metooindia mjakbar aloknath metoovsakbar journalist priyaramani emperorakbar metooliars,0
42,1052261923620704257,im sharing a tweet of sonam mahajan a much appreciated tweet blame the person not the gender metoo metooindia metoo chinmayi chinmayi chinmayileaks vairamuthu httpstcogvrcvsshde,0
43,1052263002613809152,fan breaks security touches feet almost kisses rohit sharma rohitsharmas metoo moment 🙈🙊🙈 metooindia,0
44,1052239379475955712,tanushree dutta who helped trigger india ’ s metoo movement says she was not going to back down the second time bollywood httpstcozewmhejnmb,0
45,1052238309446078465,imagine if ajaydevgn would have kissed some actress at random function kajol crazy fans reactions metoo 😵😖😓,0
46,1052234791888793600,now malayalam actor alencier ley lopez in metoo row accused of sexually harassing actress divya gopinath httpstconglhcwfzbt,0
47,1052239271015247872,metoo anirban das blah steps down from talent agency kwan after multiple allegations of sexual harassment,0
48,1052231343550197760,now change the name of allahabad pryag raj😇😇😇📲 metoo dogs dogs tuesdaythoughts pet cats allahabad allahabad,0
