hashtags,id,possibly_sensitive,text
MeToo,1052098315687346177,False,Such insensitive words. But alll laughing and applauding including the woman anchor. #MeToo @dhanyarajendran https://t.co/AipLJ7pnyj
MeToo MeTooIndia,1052084623763591168,False,Be like Kali... Supporting through art for #MeToo #MeTooIndia moment https://t.co/8o991KymUb
MeToo,1052089712004014083,False,Men Understand Consent When a Gay Guy Touches Them: Mallika Dua on #MeToo https://t.co/I9KxmKmD52 via @gayindia https://t.co/wuZK9uOKXL
MeToo,1052089572870385665,False,Priya Ramani is going to be fighting MJ Akbar’s 97 lawyers in the #MeToo defamation suit. https://t.co/IPyELQz8Wf
MeToo,1052089363667017728,False,Must see this video. Tells what is legal for #MeToo @DrABChandorkar  @somanathg @ProudBhagavathi @Goldenthrust https://t.co/pKjr1AUeVN
MeToo,1052095167984033792,False,India’s Me Too movement: Aamir Khan will launch season 4 of Satyamev Jayate with #MeToo movement? https://t.co/EEGJUwD9EW
MeToo glamsham Bollywood BombayTimesFashionWeek,1052084592734294016,False,"Ex Miss Universe talks about #MeToo Readmore...
https://t.co/9Ivz1soGml

#glamsham #Bollywood @thesushmitasen #BombayTimesFashionWeek @SushmitaSenWeb @SushmitaSenUn @IAMHimaniSingh @SushmitaSenPH @SushmitaSen2010 @SUSHMITASENF @Sushmitafanclub @Sushmitian @Sushmitasenfan1 https://t.co/lBmdwbrR4A"
MeToo,1052091040759394309,False,"#MeToo: Zoya Akhtar, Nandita Das, Kiran Rao &amp; 8 Other Women Filmmakers Won’t Work With Proven Offenders https://t.co/QEbSfJBw1R https://t.co/DPfLSY2uGY"
MeToo,1052095279967567872,False,"My #MeToo  Story ..

Please Share 🙌 @mrsfunnybones https://t.co/1NkLrfJgIU"
MeToo MenToo MeTooIndia,1052087485801459712,False,"Well, then its time to start #MeToo for men #MenToo #MeTooIndia https://t.co/XAx5xzv5fZ"
Metoo,1052081173663498240,False,She got Promoted after doing this I think. Where’s #Metoo Now?? https://t.co/LQNMLjiARf
MeToo,1052097009077903360,False,"#MeToo best clean up act to happen: Neha Dhupia
https://t.co/lTZB3vv0K2

@NehaDhupia @nehadhupia8 @NehadhupiaFC1 https://t.co/lUaXaKVoec"
MeToo Bollywood,1052092572963753984,False,#MeToo movement shakes yet another #Bollywood foundation: Kwan manager Anirban Blah is being termed as sexual predator https://t.co/iib7bxzEPw https://t.co/lpMZvdn0x4
MeToo,1052095254386679808,False,#MeToo: Season 4 of Aamir Khan's Satyamev Jayate to be a platform for those accused of sexual harassment - read details https://t.co/g40EB9H3Ew
MeToo,1052086347152977920,False,#MeToo: Can men gain something from it? https://t.co/JOMBKgd4zM https://t.co/mLPuoVU6PW
MeToo,1052090198798946304,False,"In response to @midday story, KWAN has issued a statement. So happy that corporate organisations are stepping up and introspecting things. To @yrf and Kwan, thanks for giving women hope that we are headed towards creating safe and balanced workplace. #MeToo https://t.co/b0etJmqPJu"
MeToo,1052097221703987200,False,"#MeToo: He Was Extremely Sexist, Obnoxious &amp; Ridiculous Towards Women – Dia Mirza https://t.co/idIMr7Qdzt https://t.co/PAx4T0qGU9"
metoo,1052095480782442496,False,very heavily harassed but no body will care coz she isn't famous director and i am middle aged man #metoo https://t.co/6GT3uOjYCM
Metoo,1052092980692021249,False,#Metoo effect. https://t.co/flcOLui1Eu
Metoo MetooIndia Minetoo minetoo,1052083810362253312,False,"#Metoo #MetooIndia to #Minetoo.

May the men come out and speak about it under #minetoo https://t.co/fdNqlT2BUy"
Metoo MeTooIndia,1052090614744051712,False,Journalists covering #Metoo - We are seeing a break out of campaigns on @ChangeOrg_India on #MeTooIndia. Pls get in touch if you are interested to know what women are asking for through these campaigns. https://t.co/IkLXohB12Y
MeToo,1052089693448429568,False,Anirban Blah asked to step aside from his duties at KWAN! @IndiaMeToo #MeToo https://t.co/LtXYG6otYu
MeToo GenderBasedViolence,1052088792813789184,False,"This visualisation of the #MeToo movement will keep you transfixed. #GenderBasedViolence can no longer be seen as a one off incidence that can be dismissed. Efforts to empower women are not enough. More men and boys need to become a part of the solution.

https://t.co/WIOtgqEwiA https://t.co/1PEbEYBVrI"
MeToo,1052094361960423425,False,#MeToo: ICC steps out against sexual harassment https://t.co/4Z1068d3qZ https://t.co/DFExpVV2cj
MeToo,1052092560930295814,False,#MeToo movement shakes yet another Bollywood foundation: Kwan manager Anirban Blah is being termed as sexual predator https://t.co/2Mp4CzOvQD https://t.co/Na47Vvsen1
yoga meditation IraTrivedi MeTooDebate MeToo MeToo MeTooControversy namami ChetanBhagat news peace womenempowerment positivethinking mindfulness,1052098149727137792,False,The Lady wid Pen who teaches Hatha Yoga.... @iratrivedi @Wikipedia #yoga #meditation #IraTrivedi #MeTooDebate #MeToo #MeToo india #MeTooControversy @YouthIncMag @YouthKiAwaaz #namami @Namamiyoga #ChetanBhagat #news #peace #womenempowerment #positivethinking #mindfulness https://t.co/tZqwO3hEqI
MeToo,1052086619350675457,False,"#MeToo campaign: Union min M J Akbar moves court against journalist
to read more go onhttp://lawzmag.com/2018/10/16/metoo-campaign-union-min-m-j-akbar-moves-court-against-journalist/ https://t.co/h8s249Xcb8"
MeToo,1052092726416723968,False,#MeToo movement shakes yet another Bollywood foundation: Kwan manager Anirban Blah is being termed as sexual predator https://t.co/mdMP1SCLRG https://t.co/t9GFrb11UD
bullshit MeToo MeTooIndia,1052090662219264000,False,"I think she is absolutely right, and without proper investigation, no men should be declared as rapist. Bcoz in india all the laws are made in favor of gals and many uses them as there weapon and use it against innocent guys #bullshit #MeToo #MeTooIndia https://t.co/zNXrhq2ty6"
metoo,1052084179880603648,False,What a shame. 97 voices to silence 1or 2. Are those voices that powerful? Is the threat that large? Power used to silence a voice is used by those who are weak. Here does weakness imply being guilty of the accussations of #metoo Then surely a larger army of lawyers will be needed https://t.co/G9lNFb7ASx
MeTooIndia MeTooControversy Metoo,1052087650620866560,False,where are we going??? #MeTooIndia #MeTooControversy #Metoo https://t.co/B0HERERlXU
MeToo,1052084807671443456,False,"Side effects of #MeToo or maybe the main effect as a report says more than two third of rape charges are fabricated. Another report says , almost 80% of rapes in India are not reported due to social stigma. Society needs an overhaul. https://t.co/oUWucKcfNt"
MeToo SaqibSaleem,1052097636650512389,False,"#MeToo: #SaqibSaleem was sexually harassed at 21, says it scarred him https://t.co/u0gArSeVpU https://t.co/I34RrPWexS"
